fieldsample_barcode,BioSample,project_id,extraction_id,original_extraction_id,extractionplate_id,extraction_row,extraction_col,extraction_conc,extraction_method,library_id,libraryplate_id,library_row,library_col,library_conc,library_method,seq_id
MFD04106,SAMN39868465,P04_3,EXT-MJ081-E5,EXT-MJ081-E5,EXT00007,E,5,2.76,PowerSoil-Pro-HT,LIB-MJ088-E5,LIB00007,E,5,0.69,ILLUMINA-DNA-PREP.V2,LIB-MJ088-E5_04
MFD04107,SAMN39868466,P04_3,EXT-MJ086-H6,EXT-MJ086-H6,EXT00012,H,6,11.48,PowerSoil-Pro-HT,LIB-MJ093-H6,LIB00012,H,6,0.92,ILLUMINA-DNA-PREP.V2,LIB-MJ093-H6_02
MFD04108,SAMN39868467,P04_3,EXT-MJ082-D1,EXT-MJ082-D1,EXT00008,D,1,8.03,PowerSoil-Pro-HT,LIB-MJ089-D1,LIB00008,D,1,0.46,ILLUMINA-DNA-PREP.V2,LIB-MJ089-D1_02
MFD04109,SAMN39868468,P04_3,EXT-MJ084-H8,EXT-MJ084-H8,EXT00010,H,8,17.11,PowerSoil-Pro-HT,LIB-MJ091-H8,LIB00010,H,8,0.55,ILLUMINA-DNA-PREP.V2,LIB-MJ091-H8_03
MFD04110,SAMN39868469,P04_3,EXT-MJ081-E11,EXT-MJ081-E11,EXT00007,E,11,6.86,PowerSoil-Pro-HT,LIB-MJ088-E11,LIB00007,E,11,0.85,ILLUMINA-DNA-PREP.V2,LIB-MJ088-E11_04
MFD04111,SAMN39868470,P04_3,EXT-MJ081-H9,EXT-MJ081-H9,EXT00007,H,9,7.21,PowerSoil-Pro-HT,LIB-MJ088-H9,LIB00007,H,9,1.05,ILLUMINA-DNA-PREP.V2,LIB-MJ088-H9_04
MFD04112,SAMN39868471,P04_3,EXT-MJ081-B9,EXT-MJ081-B9,EXT00007,B,9,9.55,PowerSoil-Pro-HT,LIB-MJ088-B9,LIB00007,B,9,0.98,ILLUMINA-DNA-PREP.V2,LIB-MJ088-B9_04
MFD04113,SAMN39868472,P04_3,EXT-MJ086-H3,EXT-MJ086-H3,EXT00012,H,3,6.6,PowerSoil-Pro-HT,LIB-MJ093-H3,LIB00012,H,3,0.86,ILLUMINA-DNA-PREP.V2,LIB-MJ093-H3_02
MFD04114,SAMN39868473,P04_3,EXT-MJ085-D9,EXT-MJ085-D9,EXT00011,D,9,8.87,PowerSoil-Pro-HT,LIB-MJ092-D9,LIB00011,D,9,1.12,ILLUMINA-DNA-PREP.V2,LIB-MJ092-D9_01
MFD04115,SAMN39868474,P04_3,EXT-MJ083-B5,EXT-MJ083-B5,EXT00009,B,5,8.99,PowerSoil-Pro-HT,LIB-MJ090-B5,LIB00009,B,5,0.3,ILLUMINA-DNA-PREP.V2,LIB-MJ090-B5_04
MFD04116,SAMN39868475,P04_3,EXT-MJ081-H5,EXT-MJ081-H5,EXT00007,H,5,10.69,PowerSoil-Pro-HT,LIB-MJ088-H5,LIB00007,H,5,1.19,ILLUMINA-DNA-PREP.V2,LIB-MJ088-H5_04
MFD04117,SAMN39868476,P04_3,EXT-MJ082-H11,EXT-MJ082-H11,EXT00008,H,11,5.45,PowerSoil-Pro-HT,LIB-MJ089-H11,LIB00008,H,11,0.27,ILLUMINA-DNA-PREP.V2,LIB-MJ089-H11_02
